274,15.0,45.0
275,15.0,45.0
276,15.0,45.0
277,15.0,45.0
278,15.0,45.0
279,15.0,45.0
280,15.0,45.0
281,15.0,45.0
282,15.0,45.0
283,15.0,45.0
284,15.0,45.0
285,15.0,44.0
286,15.0,44.0
287,15.0,45.0
288,15.0,42.0
289,15.0,44.0
290,15.0,42.0
291,14.0,46.0
292,14.0,46.0
293,15.0,42.0
294,14.0,46.0
295,14.0,46.0
296,14.0,45.0
297,14.0,46.0
298,14.0,43.0
299,14.0,46.0
300,14.0,45.0
300,14.0,46.0
301,11.0,48.0
302,11.0,47.0
303,12.0,49.0
304,12.0,49.0
305,12.0,50.0
306,13.0,48.0
307,13.0,49.0
308,13.0,50.0
309,13.0,50.0
310,13.0,50.0
311,14.0,50.0
312,14.0,49.0
313,14.0,50.0
314,14.0,50.0
315,14.0,50.0
316,14.0,50.0
317,15.0,50.0
318,15.0,50.0
319,15.0,49.0
320,15.0,50.0
321,15.0,51.0
322,16.0,49.0
323,15.0,49.0
324,16.0,51.0
325,16.0,50.0
326,16.0,49.0
327,16.0,50.0
328,16.0,49.0
329,16.0,48.0
330,17.0,48.0
330,17.0,48.0
331,20.0,45.0
331,20.0,43.0
331,20.0,45.0
332,25.0,41.0
333,25.0,42.0
334,25.0,42.0
335,25.0,42.0
336,25.0,42.0
337,25.0,42.0
338,25.0,42.0
339,25.0,43.0
340,25.0,42.0
341,25.0,43.0
342,25.0,42.0
343,25.0,43.0
344,25.0,43.0
345,25.0,43.0
346,25.0,42.0
347,25.0,42.0
348,25.0,43.0
349,25.0,43.0
350,25.0,43.0
351,25.0,43.0
352,25.0,43.0
353,25.0,43.0
354,25.0,43.0
355,25.0,43.0
356,25.0,43.0
357,25.0,43.0
358,25.0,42.0
359,25.0,42.0
360,25.0,43.0
360,25.0,43.0
361,24.0,44.0
362,25.0,42.0
363,24.0,44.0
364,25.0,43.0
365,25.0,43.0
366,25.0,42.0
367,24.0,44.0
368,24.0,44.0
369,25.0,43.0
370,24.0,45.0
371,25.0,44.0
